Title,X_tweet,Type,Image,Status,created_time
The State of Crypto - Annual Report Design Template," An example of self-custody crypto wallet mobile design, focusing on security, usability, and a seamless experience for managing digital assets.

This shot showcases the Activity screen, where users can view their current balance and recent transactions in a clean, intuitive interface. The design includes both dark and light themes, ensuring accessibility and adaptability to user preferences.

The layout prioritizes clarity and ease of navigation, providing quick insights into transaction history with clear labels, token icons, and real-time status updates. Every interaction is designed to enhance the self-custody experience, empowering users to stay in control of their crypto assets with confidence.

#uxdesign #uxdesign #uiux #mobiledesign",Linkedin,Apex 1.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/JrVSvc-U5aD4n3FkenWvVw/iem-JUB7yyw-0Z7vsOVrWYzrSF4PdA45XuK6t5sas6RNrYtevd4HFMsRlUR6eV0cNaMiDtCOYJ4Pl-jxieo0Hit1U7eYrwVODzWa5MxkOHzddqf1QSQ4NBc4VXEXk0jWY1sto8yeR7fD7L3lp-FCQA/UhZ8J3ofKcjok2bzv3azGPx8jEudAWkj0Jhl_Ujbzgk),Published,1/12/2025 9:27am
"""Global Web3 & DeFi"" Research Report Design Example","This market selection screen was designed for Moonbit, a decentralized perpetuals crypto exchange. 

The goal was to create a seamless and intuitive interface, enabling users to quickly browse and select trading pairs with real-time data.

The design emphasizes clarity, modern aesthetics, and ease of use, built with a focus on user-centric design principles and optimized for a smooth trading experience.

#uxdesign #uxdesign #uiux #defi #dex",Tweet,DeFiScope 2.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/hqJvHa-Ku6De82HJNwPD1g/k0jyjXOWRH1IU3l-uEylFeG2DJylp1zh-VwXs0DKIYFI8rq9JWVIy7tTUTMCPRiEjNw6NLiMtu-MpL95Qj1aFLBDGtQEf_yOIVvSdoAcjRsSbz8ocl1646pdaEtXUse8QirY2S_GvPlDuS5fa65TQr7oz_WHuF2NQZZNtzXKaTE/vSMfb9ru_p3uEA1L9NnWgOicBxVUpErBpVDBDpiaJRo),Published,1/12/2025 9:29am
Exchange Landscape - Quarterly Financial Report Design,"Admin Settings screen UI/UX design for a cryptocurrency investing platform with extensive features like copy-trading and re-investing capital using different investment strategies.

#uxdesign #uxdesign #uiux #saas",Tweet,HashWave 1.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/tHfydLVehjLpsVVYnev9PA/HolJ1zgPZ-I91vyNeNA1S5xnR3bERcnnlgMFAU0r7iy9n3aQcyigWl2_onZbs7ydF5eoF3cPb3iij9TOK3HM1IdpV8bnQIrdhWxWegicRXep0diU8hoeTEV8vebxV8YTH07tOI4eZJlDp02q4hIl0RmxfHbh7WWHJOtYvQgdXo4/-TzF7W6NilTtFVUsTMko-i5vbehYGliCpRfgjBlbH_I),Published,1/12/2025 9:31am
Digital Assets Volatility Index Q4 2025 - Financial Report Design Template,"UI/UX design example of the user interface of the regulated cryptocurrency investment platform for one of the local markets in Asia. 

The platform allows accredited investors to choose from various projects, perform due diligence, and invest in tokens using both fiat and crypto assets.

#uxdesign #uxdesign #dashboard",Linkedin,Layer 2.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/TOKRqA1eY0LsaJ6CX7EYyw/MibP8dZ9q8NiKDxVqrT-H2TuOudQ_VhkymNAMsOsvkxW-R6iXn4JLuhPNstsj3pMJne3eXc0_ihNogiqacHy-Ep_jEhxsWIS7ytGBO3QkeYW7HwIL86ozFpG_CrMtrOd8ba816nlqU2Mu8xGWRulEddO6vJWAVO85RC6OuWtSiU/kUd701YsvzClFicqWrZIohVMpHY1GvEjXG5qo8VD1pA),Published,1/12/2025 9:32am
CoinStage Pro - Crypto Investment Platform SaaS UI/UX Design,"Dashboard UI/UX design for a cryptocurrency investing platform with extensive features like copy-trading and re-investing capital using different investment strategies.

#uxdesign #uxdesign #uiux #saas #dashboard",Tweet,image.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/ticLBoHwdvxghszBWc59fg/HeTSjQk-egXHZJoREH22syujRsTcTTfNb-74nSmLBp1cAAg7WhRSYxKCFsbr6Yr6ET7R3LzhSb72FnaYDRNYi-rmJTlJlWFJ61ZxqIYAaTIeB-gHFh0RU3H8g8TbOrfIbb3hegf4ntdOd1TLvQoomQ/0CA78-uUMYEpBYRwxx1_x3oanWKjlkVIxZGDCNwJDHE),Published,1/12/2025 9:33am
TradFi & Macro Research - September 2025 Report Design,"One of the recent works, a user interface for DeelShark - a white-label solution for exchanges and trading desks. 

The platform connects buyers and sellers who wish to execute over the counter deals in a secure way.",Tweet,Teroxx 1.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/-s6b09S6pvehbBhtI8j4bw/naiJexezEuQ0N94Z7RVX6EM4NnY-kz-WvmYQczhZRgP39ccX62CddX7d5JtCbQFBK4FoFJETiYbhSoMgbaMfwThloAmoWftZOtVHCiMOmVy3AlX_TBRCcCOQThNtsCkgmX_kZBUlqHrYPKq_6DVfyRUfGBXuYQ6OWxe2rBZ0z6k/4zwHsWmV2L0MljZtnmBzJ4gDc1enKGFB-R587D6e3BQ),Published,1/12/2025 9:37am
September 2025 TradFi & Macro Research Report Design,"""Add Liquidity"" screen is designed for trader who would like to provide liquidity to one of the existing pools.

#uxdesign #uxdesign #uiux #defi #dex",Linkedin,Teroxx 2.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/OqZ_2_HiU8jgVyPR4n-kjQ/wtJDIlgCtETqWl0Hh7vnsCahXM63o-OVcgnU_WuuzhdHzGtaWfAEKO2-pbIxZ8KnFg5B564xiqK7pVKlG5T-62b4u7uVktbcNg4e70MP3b1MJb7PhU6V23e-NFYbnk8MgbY95jE9dSelVCyF2Sh82h7fNqWxB13DtxFng1RM-qM/PLVfFiZVe45M9y-ct6YXgcyrPEAZ-VHM19L3JmCTI-U),Published,1/12/2025 9:40am
UI/UX Design for CryptoVolt  Exchange - A Simple Way to Buy & Sell Cryptocurrency,"Featuring a user interface for a simple crypto exchange that allows users in one of the Asian local markets to quickly buy and sell cryptocurrencies.

#uxdesign #uxdesign #uiux #dashboard",Tweet,image.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/N10PsQylU5DC3JxLpqChoA/z16gA_z-tqsrXpIrlb5Fpz9ohEjIY9iHSGBjAPUfsHQ7DwfBfOabFarm5gbW62wrygI_-m7WwjsZtKRXiVwKFtd0qdIBVqHUqlEfthJhX-dRnw0znUML8maj3yhTTIGCjl9UGHmYezY1xgFe-gywRA/aIyI79bMo_ytrIzsHVUB_PGvnefL-rYtzxMSIfwCEHQ),New,1/12/2025 9:46am
edgeSwap DEX - Insights Dashboard Design,"The screen allows users to track key platform stats such as Total Value Locked (TVL) and Trading Volume, with options to filter by overall stats or by top-performing tokens.

The UI/UX focuses on providing clear, real-time analytics in an intuitive layout, making it easier for users to stay on top of market trends and performance metrics.

Designed with user-centric principles in mind, this dashboard blends functionality with clean, modern design.",Tweet,image.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/L3Cbu0j1nCOvllwqTvCgpA/8Y1zT8Q37QrRvAZmTdGViV_1J5zSyWcn6AiZqp8v1q1Nt5SxqdbWI-lgkPJ5_0SQiF45XTbawU9kCF5-CtWnZOg-WOr7cPZm8quQaA_5pjRWSwFx6gw7QDxPd1JIZM2Yor5JJT9PpEkdcPYVyZXpvg/R5msLfBVYP4HjNBdJgLPIXdrRD1g1kC37FmuNw_9sHQ),Published,1/12/2025 9:48am
Financial Report Template Design,,Linkedin,Parallax 2.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/NqwlhFr3qf2OTZck2PpOHQ/aTSotmAHjiqugrgRjUQu0B7vRVJpzGUZGUhrovZcqsI8LJTGl3n1Z3WqY9MiHqcyH9KLFDc2YKxUgFsPRZrIt2QpdzbzV5Ue4xy2xjl3W7KZgEcIeYqVAchHhHjsSld7N8RBoCT6vsy9q3MhJQHCYSHGeXDkMu2fsHIy5gSNXhU/u8_Wgv1IyIpARoU3dBz8uhYEnjt1hjCTbgGYfLD2QVU),Published,1/12/2025 9:53am
